Brazil,south of minas,ipanema coffees,Bourbon,83.92
Brazil,south of minas,ipanema coffees,Bourbon,83.67
Colombia,pitalito,carcafe ltda ci,Caturra,83.5
Brazil,south of minas,ipanema coffees,Bourbon,83
Brazil,south of minas,ipanema coffees,Bourbon,83
Brazil,south of minas,ipanema coffees,Bourbon,82.67
Brazil,cerrado,pedro santos e silva,Catuai,82.33
Brazil,south of minas,ipanema coffees,Bourbon,82.33
Brazil,south of minas,ipanema coffees,Bourbon,82.17
Brazil,south of minas,ipanema coffees,Bourbon,82.08
Brazil,south of minas,ipanema coffees,Bourbon,82
Brazil,monte carmelo,gabriel barbara,Mundo Novo,81.83
Brazil,alta paulista (sao paulo),gregorio sebba,Mundo Novo,81.08
Honduras,comayagua,bismarck castro,Caturra,80.25
Costa Rica,tarrazu,troy quimby,Catuai,83.25
Costa Rica,tarrazu,troy quimby,Catuai,81.83
Guatemala,nuevo oriente,juan luis alvarado romero,Bourbon,85.92
Uganda,eastern uganda,kyagalanyi coffee ltd,SL14,85
Costa Rica,tarrazu,troy quimby,Catuai,85
Indonesia,temanggung,sanjava coffee,Java,84.67
Uganda,eastern uganda,ecom japan limited,SL14,84.5
Honduras,central region,bismarck castro,Catuai,84.33
Guatemala,antigua,juan luis alvarado romero,Caturra,84.25
Costa Rica,tarrazu,wayner jimenez,Caturra,84.17
Guatemala,huehuetenango,juan luis alvarado romero,Caturra,84.17
Guatemala,solola,juan luis alvarado romero,Caturra,84.17
Guatemala,norte,juan luis alvarado romero,Bourbon,84.17
Guatemala,oriente,juan luis alvarado romero,Bourbon,84.08
Guatemala,antigua,juan luis alvarado romero,Bourbon,83.83
Honduras,comayagua,bismarck castro,Caturra,83.67
Nicaragua,jinotega,comercial internacional exportadora,Caturra,83.67
Guatemala,huehuetenango,juan luis alvarado romero,Caturra,83.58
Colombia,cundinamarca,carcafe ltda ci,Caturra,83.5
Guatemala,oriente,juan luis alvarado romero,Bourbon,83.5
Colombia,huila,carcafe ltda ci,Caturra,83.42
Costa Rica,tarrazu,ceca s.a.,Caturra,83.42
Guatemala,nuevo oriente,juan luis alvarado romero,Pacas,83.25
Guatemala,antigua,juan luis alvarado romero,Caturra,83.17
Honduras,marcala,cadexsa,Catuai,83.17
Colombia,cundinamarca,carcafe ltda ci,Caturra,83.08
Costa Rica,tarrazu,ceca s.a.,Caturra,82.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,82.5
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.42
Guatemala,nuevo oriente,juan luis alvarado romero,Pacas,82.25
Honduras,marcala,cadexsa,Catuai,81.67
Guatemala,san marcos,juan luis alvarado romero,Catuai,81.42
Guatemala,norte,juan luis alvarado romero,Bourbon,81
Mexico,sierra madre occidental,cafe de don balbino s.c. de r.l. de c.v.,Caturra,80.25
Guatemala,oriente,juan luis alvarado romero,Bourbon,79.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,79.67
Guatemala,occidente,juan luis alvarado romero,Bourbon,79.17
